date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:42	170556/170556	---MCZ	200	added ('OK')	font/ttf	etag:W/%2229a3c-5f2ebcc60eb3e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regular.ttf	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regular.ttf	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:43	89452/89452	---M--	200	added ('OK')	font/woff	etag:%2215d6c-5f2ebcc60fade%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regular.woff	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regular.woff	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:43	61736/61736	---M--	200	added ('OK')	font/woff2	etag:%22f128-5f2ebcc60fade%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regular.woff2	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regular.woff2	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:43	161678/161678	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222778e-5f2ebcc60bc5e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italic.eot	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italic.eot	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:43	161678/161678	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222778e-5f2ebcc60bc5e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italic.eot?	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italicd41d.eot	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:44	760422/760422	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b9a66-5f2ebcc60cbfe%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italic.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italic.svg	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:44	172160/172160	---MCZ	200	added ('OK')	font/ttf	etag:W/%222a080-5f2ebcc60db9e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italic.ttf	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italic.ttf	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:44	94588/94588	---M--	200	added ('OK')	font/woff	etag:%221717c-5f2ebcc60db9e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italic.woff	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italic.woff	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:44	65536/65536	---M--	200	added ('OK')	font/woff2	etag:%2210000-5f2ebcc60db9e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italic.woff2	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Italic.woff2	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:44	163694/163694	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2227f6e-5f2ebcc606e3e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Black.eot	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Black.eot	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:45	163694/163694	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2227f6e-5f2ebcc606e3e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Black.eot?	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Blackd41d.eot	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:45	749283/749283	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b6ee3-5f2ebcc608d7e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Black.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Black.svg	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:45	180100/180100	---MCZ	200	added ('OK')	font/ttf	etag:W/%222bf84-5f2ebcc608d7e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Black.ttf	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Black.ttf	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:45	90120/90120	---M--	200	added ('OK')	font/woff	etag:%2216008-5f2ebcc608d7e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Black.woff	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Black.woff	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
